"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"42",0,8.35122217593549,0.427,0.002,0,"Endothelial cells","CDH5"
"43",0,8.52853912472016,0.425,0.002,0,"Endothelial cells","CLEC14A"
"44",0,8.87494344958214,0.395,0.001,0,"Endothelial cells","EMCN"
"45",0,8.34925123284804,0.287,0.001,0,"Endothelial cells","MYCT1"
"46",0,8.42987303224973,0.483,0.012,0,"Memory B cells","JCHAIN"
"47",0,8.12645419400916,0.487,0.016,0,"Memory B cells","IGHM"
"48",0,8.76274279447764,0.316,0.017,0,"Memory B cells","IGLC1"
"49",0,8.17103298271465,0.323,0.045,0,"Memory B cells","IGLC2"
"50",0,8.43033182801055,0.217,0.001,0,"Memory B cells","TNFRSF17"
"51",0,6.67229135288495,0.441,0.008,0,"Plasmacytoid Dendritic cells","FCER1A"
"52",0,6.76144428870358,0.44,0.008,0,"Plasmacytoid Dendritic cells","CD1C"
"53",0,5.18612636765086,0.437,0.023,0,"Plasmacytoid Dendritic cells","CLEC10A"
"54",0,7.27356999269452,0.334,0.004,0,"Plasmacytoid Dendritic cells","CD1E"
"55",0,5.31052888385597,0.227,0.006,0,"Plasmacytoid Dendritic cells","FLT3"
"56",0,7.40232400429032,0.982,0.055,0,"Unknown","HBA1"
"57",0,8.04113877199505,0.522,0.005,0,"Unknown","ALAS2"
"58",0,8.01644238622797,0.334,0.003,0,"Unknown","HBD"
"59",0,7.30326495383375,0.265,0.003,0,"Unknown","AHSP"
"60",0,7.44084052820459,0.263,0.002,0,"Unknown","SLC4A1"
"61",0,7.34829368925323,0.639,0.008,0,"HSC/MPP cells","HAPLN1"
"62",0,6.90221012554473,0.39,0.006,0,"HSC/MPP cells","ESM1"
"63",0,6.60944477257117,0.339,0.003,0,"HSC/MPP cells","HTR1F"
"64",0,6.21937459027916,0.234,0.003,0,"HSC/MPP cells","LINC02725"
"65",0,6.63552659409044,0.203,0.003,0,"HSC/MPP cells","SLC26A4"
"66",0,5.86327672004897,0.292,0.032,0,"Platelets","CRYAB"
"67",0,8.97032774190892,0.22,0.002,0,"Platelets","PLP1"
"68",0,9.11068365092466,0.212,0.002,0,"Platelets","NRXN1"
"69",0,6.7306028007307,0.232,0.023,0,"Platelets","CDH19"
"70",0,5.82697567522036,0.217,0.013,0,"Platelets","SCN7A"
"71",0,11.146639254005,0.934,0.004,0,"Basophils","CPA3"
"72",0,10.9914222015329,0.917,0.006,0,"Basophils","TPSAB1"
"73",0,10.7387684952056,0.882,0.006,0,"Basophils","TPSB2"
"74",0,10.7090879948106,0.848,0.002,0,"Basophils","MS4A2"
"75",0,9.87294129923019,0.296,0.001,0,"Basophils","TPSD1"
"76",0,11.0527400198719,0.763,0.001,0,"Beta cells","CHGA"
"77",0,11.0654096282022,0.68,0,0,"Beta cells","GAD2"
"78",0,12.3124179162396,0.29,0.001,0,"Beta cells","IAPP"
"79",0,11.4235294641448,0.284,0.003,0,"Beta cells","GCG"
"80",1.40498932133348e-272,11.1251097525628,0.751,0.075,5.14240141501269e-268,"Beta cells","INS"
